smiles	idnumber	name	mw	logp	hba	hbd	rotb	tpsa	fsp3	hac
CCN(CC#N)C1CCS(=O)(=O)C1	IMED268889417	2-[(1,1-dioxo-1lambda6-thiolan-3-yl)(ethyl)amino]acetonitrile	202.279	0.019	4	0	3	61.17	0.875	13
CCN(CCO)C1CCS(=O)(=O)C1	IMED159647087	3-[ethyl(2-hydroxyethyl)amino]-1lambda6-thiolane-1,1-dione	207.295	-0.512	4	1	4	57.61	1.0	13
CC(C)N1CCC(CC1)S(N)(=O)=O	IMED1535729106	1-(propan-2-yl)piperidine-4-sulfonamide	206.311	0.148	3	1	2	63.4	1.0	13
CCC(CC#N)NS(=O)(=O)N(C)C	IMED1686860384	[(1-cyanobutan-2-yl)sulfamoyl]dimethylamine	205.283	0.075	3	1	5	73.2	0.857	13
O=S(=O)(NCCC#N)N1CCCC1	IMED279796691	3-[(pyrrolidine-1-sulfonyl)amino]propanenitrile	203.267	-0.17	3	1	4	73.2	0.857	13
CCN(CC)S(=O)(=O)NCCC#N	IMED237914553	(2-cyanoethyl)(diethylsulfamoyl)amine	205.283	0.076	3	1	6	73.2	0.857	13
CCN(CC)S(=O)(=O)NCCOC	IMED237975187	(diethylsulfamoyl)(2-methoxyethyl)amine	210.299	-0.191	3	1	7	58.64	1.0	13
COCCNS(=O)(=O)N1CCCC1	IMED279856769	N-(2-methoxyethyl)pyrrolidine-1-sulfonamide	208.283	-0.437	3	1	5	58.64	1.0	13
NS(=O)(=O)CCNC(=O)NC1CC1	IMED446481705	1-cyclopropyl-3-(2-sulfamoylethyl)urea	207.255	-1.263	3	3	4	101.29	0.833	13
CCC(N1CCS(=O)CC1)C(N)=O	IMED1176450434	2-(1-oxo-1lambda4-thiomorpholin-4-yl)butanamide	204.295	-0.685	3	1	3	63.4	0.875	13
CS(=O)(=O)N1CCN(CC#N)CC1	IMED134864929	2-(4-methanesulfonylpiperazin-1-yl)acetonitrile	203.267	-0.913	4	0	2	64.41	0.857	13
CCC(SC1CCOCC1)C(N)=O	IMED1517650180	2-(oxan-4-ylsulfanyl)butanamide	203.307	1.162	3	1	4	52.32	0.889	13
CCCS(=O)(=O)N(C)C(C)CC#N	IMED1218186974	N-(1-cyanopropan-2-yl)-N-methylpropane-1-sulfonamide	204.295	0.96	3	0	5	61.17	0.875	13
CC(CC#N)N(C)S(=O)(=O)N(C)C	IMED1218186824	[(1-cyanopropan-2-yl)(methyl)sulfamoyl]dimethylamine	205.283	0.027	3	0	4	64.41	0.857	13
OCCNS(=O)(=O)CC1CCCO1	IMED1496842473	N-(2-hydroxyethyl)-1-(oxolan-2-yl)methanesulfonamide	209.267	-0.923	4	2	5	75.63	1.0	13
CN(C)S(=O)(=O)NCC(O)C1CC1	IMED1462742858	[(2-cyclopropyl-2-hydroxyethyl)sulfamoyl]dimethylamine	208.283	-0.847	3	2	5	69.64	1.0	13
CN1C(N)=NN=C1SC1CCOC1	IMED2062285737	4-methyl-5-(oxolan-3-ylsulfanyl)-4H-1,2,4-triazol-3-amine	200.267	0.278	6	1	2	65.96	0.714	13
NC1=NN=C(SC2CCOCC2)S1	IMED1631961235	5-(oxan-4-ylsulfanyl)-1,3,4-thiadiazol-2-amine	217.319	1.391	6	1	2	61.03	0.714	13
CCCNC(=O)C1CCS(=O)(=O)C1	IMED221024629	1,1-dioxo-N-propyl-1lambda6-thiolane-3-carboxamide	205.279	-0.053	3	1	3	63.24	0.875	13
CNC(=O)C1CCCN1S(C)(=O)=O	IMED252926061	1-methanesulfonyl-N-methylpyrrolidine-2-carboxamide	206.267	-0.844	3	1	2	66.48	0.857	13
CCCNC(=O)C(C)(C)S(C)(=O)=O	IMED1190783560	2-methanesulfonyl-2-methyl-N-propylpropanamide	207.295	0.336	3	1	4	63.24	0.875	13
CC(C)(C)CS(=O)(=O)NCCC#N	IMED1998567126	N-(2-cyanoethyl)-2,2-dimethylpropane-1-sulfonamide	204.295	0.866	3	1	4	69.96	0.875	13
CCCS(=O)(=O)NCC(O)C1CC1	IMED1247498387	N-(2-cyclopropyl-2-hydroxyethyl)propane-1-sulfonamide	207.295	0.087	3	2	6	66.4	1.0	13
CC(O)CNS(=O)(=O)CC(C)(C)C	IMED1998311813	N-(2-hydroxypropyl)-2,2-dimethylpropane-1-sulfonamide	209.311	0.333	3	2	4	66.4	1.0	13
OC1CCN(CC1)S(=O)(=O)C1CC1	IMED1496855888	1-(cyclopropanesulfonyl)piperidin-4-ol	205.279	-0.065	3	1	2	57.61	1.0	13
COC(=O)CN(C)S(=O)(=O)C1CC1	IMED1521999292	methyl 2-(N-methylcyclopropanesulfonamido)acetate	207.251	-0.417	4	0	4	63.68	0.857	13
CC(CO)NS(=O)(=O)CC(C)(C)C	IMED1998347641	N-(1-hydroxypropan-2-yl)-2,2-dimethylpropane-1-sulfonamide	209.311	0.333	3	2	4	66.4	1.0	13
CCC(CC#N)NS(=O)(=O)C1CC1	IMED1686860655	N-(1-cyanobutan-2-yl)cyclopropanesulfonamide	202.279	0.76	3	1	5	69.96	0.875	13
OCCN(CCO)S(=O)(=O)C1CC1	IMED1566084247	N,N-bis(2-hydroxyethyl)cyclopropanesulfonamide	209.267	-1.235	4	2	6	77.84	1.0	13
OCC1CCN(C1)S(=O)(=O)C1CC1	IMED1591959153	[1-(cyclopropanesulfonyl)pyrrolidin-3-yl]methanol	205.279	-0.207	3	1	3	57.61	1.0	13
OC(CNS(=O)(=O)C1CC1)C1CC1	IMED1462743202	N-(2-cyclopropyl-2-hydroxyethyl)cyclopropanesulfonamide	205.279	-0.161	3	2	5	66.4	1.0	13
CCN(CCC#N)S(=O)(=O)C1CC1	IMED1255718675	N-(2-cyanoethyl)-N-ethylcyclopropanesulfonamide	202.279	0.714	3	0	5	61.17	0.875	13
CCCC(=O)NC1CCS(=O)(=O)C1	IMED118767233	N-(1,1-dioxo-1lambda6-thiolan-3-yl)butanamide	205.279	0.09	3	1	3	63.24	0.875	13
CCCC(=O)N1CCS(=O)(=O)CC1	IMED1082706057	4-butanoyl-1lambda6-thiomorpholine-1,1-dione	205.279	0.044	3	0	2	54.45	0.875	13
CC(C)NC(=O)C(C)(C)S(C)(=O)=O	IMED1190772294	2-methanesulfonyl-2-methyl-N-(propan-2-yl)propanamide	207.295	0.334	3	1	3	63.24	0.875	13
CCC(=O)NC1(C)CCS(=O)(=O)C1	IMED55067312	N-(3-methyl-1,1-dioxo-1lambda6-thiolan-3-yl)propanamide	205.279	0.09	3	1	2	63.24	0.875	13
CC(C)C(=O)NCCNS(C)(=O)=O	IMED133816827	N-(2-methanesulfonamidoethyl)-2-methylpropanamide	208.283	-0.692	3	2	5	75.27	0.857	13
CC(C)(C(=O)NC1CC1)S(C)(=O)=O	IMED1190780510	N-cyclopropyl-2-methanesulfonyl-2-methylpropanamide	205.279	0.088	3	1	3	63.24	0.875	13
COCC(O)CNS(=O)(=O)C1CC1	IMED1497039282	N-(2-hydroxy-3-methoxypropyl)cyclopropanesulfonamide	209.267	-0.924	4	2	6	75.63	1.0	13
CCC(=O)NC1CCCS(=O)(=O)C1	IMED1204626540	N-(1,1-dioxo-1lambda6-thian-3-yl)propanamide	205.279	0.09	3	1	2	63.24	0.875	13
CN1CC(CCC1=O)NS(C)(=O)=O	IMED1241632640	N-(1-methyl-6-oxopiperidin-3-yl)methanesulfonamide	206.267	-0.844	3	1	2	66.48	0.857	13
O=C(CSCC#N)N1CCOCC1	IMED392030047	2-{[2-(morpholin-4-yl)-2-oxoethyl]sulfanyl}acetonitrile	200.263	0.102	4	0	3	53.33	0.75	13
O=S(=O)(NC1CC1)N1CCOCC1	IMED240231705	N-cyclopropylmorpholine-4-sulfonamide	206.267	-0.685	3	1	3	58.64	1.0	13
CC(CS(C)(=O)=O)NCC(C)(C)O	IMED1589953047	1-[(1-methanesulfonylpropan-2-yl)amino]-2-methylpropan-2-ol	209.311	-0.22	4	2	5	66.4	1.0	13
COCCS(=O)(=O)NC1CCCC1	IMED851072737	N-cyclopentyl-2-methoxyethane-1-sulfonamide	207.295	0.495	3	1	5	55.4	1.0	13
CN(C)S(=O)(=O)CC1=NOC(C)=C1	IMED1171577960	N,N-dimethyl-1-(5-methyl-1,2-oxazol-3-yl)methanesulfonamide	204.251	0.374	4	0	3	63.41	0.571	13
CC(C)CN(CC(N)=O)S(C)(=O)=O	IMED401498703	2-[N-(2-methylpropyl)methanesulfonamido]acetamide	208.283	-0.611	3	1	5	80.47	0.857	13
CC(C)NC(=O)CN(C)S(C)(=O)=O	IMED133875693	2-(N-methylmethanesulfonamido)-N-(propan-2-yl)acetamide	208.283	-0.598	3	1	4	66.48	0.857	13
CCS(=O)(=O)NCCNS(C)(=O)=O	IMED414703161	N-(2-methanesulfonamidoethyl)ethane-1-sulfonamide	230.311	-1.525	4	2	6	92.34	1.0	13
CCNC(=O)CN(C)S(=O)(=O)CC	IMED805720195	N-ethyl-2-(N-methylethanesulfonamido)acetamide	208.283	-0.596	3	1	5	66.48	0.857	13
COCCS(=O)(=O)N1CCOCC1	IMED851072591	4-(2-methoxyethanesulfonyl)morpholine	209.267	-0.705	4	0	4	55.84	1.0	13
CS(=O)(=O)NCCOCC(F)(F)F	IMED300670279	N-[2-(2,2,2-trifluoroethoxy)ethyl]methanesulfonamide	221.2	0.114	3	1	5	55.4	1.0	13
CCCNC(=O)CN(C)S(C)(=O)=O	IMED133753411	2-(N-methylmethanesulfonamido)-N-propylacetamide	208.283	-0.596	3	1	5	66.48	0.857	13
CCCN(CC(=O)NC)S(C)(=O)=O	IMED736806747	N-methyl-2-(N-propylmethanesulfonamido)acetamide	208.283	-0.596	3	1	5	66.48	0.857	13
CCCS(=O)(=O)NCC(=O)N(C)C	IMED815224109	N,N-dimethyl-2-(propane-1-sulfonamido)acetamide	208.283	-0.596	3	1	5	66.48	0.857	13
CCNC(=O)CN(CC)S(C)(=O)=O	IMED133830399	N-ethyl-2-(N-ethylmethanesulfonamido)acetamide	208.283	-0.596	3	1	5	66.48	0.857	13
CCCS(=O)(=O)N(C)CC(=O)NC	IMED815224013	N-methyl-2-(N-methylpropane-1-sulfonamido)acetamide	208.283	-0.596	3	1	5	66.48	0.857	13
CS(=O)(=O)NCCN1CCOCC1	IMED55341537	N-[2-(morpholin-4-yl)ethyl]methanesulfonamide	208.283	-1.132	4	1	4	58.64	1.0	13
CN(CC1=NOC(C)=C1)S(C)(=O)=O	IMED401500097	N-methyl-N-[(5-methyl-1,2-oxazol-3-yl)methyl]methanesulfonamide	204.251	0.374	4	0	3	63.41	0.571	13
CCS(=O)(=O)NCC(=O)NC1CC1	IMED805651667	N-cyclopropyl-2-ethanesulfonamidoacetamide	206.267	-0.796	3	2	5	75.27	0.857	13
CCCS(=O)(=O)NCC1CCCO1	IMED54159757	N-[(oxolan-2-yl)methyl]propane-1-sulfonamide	207.295	0.495	3	1	5	55.4	1.0	13
O=S(=O)(CCCC#N)C1CCCC1	IMED1624403720	4-(cyclopentanesulfonyl)butanenitrile	201.291	1.648	3	0	4	57.93	0.889	13
CC(O)CCNS(=O)(=O)CC1CC1	IMED1498581194	1-cyclopropyl-N-(3-hydroxybutyl)methanesulfonamide	207.295	0.087	3	2	6	66.4	1.0	13
CCN(CC#N)S(=O)(=O)CC1CC1	IMED1332842185	N-(cyanomethyl)-1-cyclopropyl-N-ethylmethanesulfonamide	202.279	0.572	3	0	5	61.17	0.875	13
CC(CC#N)NS(=O)(=O)CC1CC1	IMED1332862116	N-(1-cyanopropan-2-yl)-1-cyclopropylmethanesulfonamide	202.279	0.618	3	1	5	69.96	0.875	13
CCN(CCO)S(=O)(=O)CC1CC1	IMED1496846817	1-cyclopropyl-N-ethyl-N-(2-hydroxyethyl)methanesulfonamide	207.295	0.04	3	1	6	57.61	1.0	13
COCCS(=O)(=O)NCC(C)(C)O	IMED1247498259	N-(2-hydroxy-2-methylpropyl)-2-methoxyethane-1-sulfonamide	211.283	-0.677	4	2	6	75.63	1.0	13
CC(CO)CNS(=O)(=O)CC1CC1	IMED1496947968	1-cyclopropyl-N-(3-hydroxy-2-methylpropyl)methanesulfonamide	207.295	-0.056	3	2	6	66.4	1.0	13
CN1C(=O)CC(NS(C)(=O)=O)C1=O	IMED2034797472	N-(1-methyl-2,5-dioxopyrrolidin-3-yl)methanesulfonamide	206.223	-1.707	4	1	2	83.55	0.667	13
CC(C)(O)CNS(=O)(=O)CC1CC1	IMED1497042822	1-cyclopropyl-N-(2-hydroxy-2-methylpropyl)methanesulfonamide	207.295	0.087	3	2	5	66.4	1.0	13
COCCS(=O)(=O)N1CC(C)(O)C1	IMED1981281189	1-(2-methoxyethanesulfonyl)-3-methylazetidin-3-ol	209.267	-0.971	4	1	4	66.84	1.0	13
CS(=O)(=O)NCCCNS(C)(=O)=O	IMED56209450	N-(3-methanesulfonamidopropyl)methanesulfonamide	230.311	-1.525	4	2	6	92.34	1.0	13
CC(CCO)CNS(=O)(=O)C1CC1	IMED1497253107	N-(4-hydroxy-2-methylbutyl)cyclopropanesulfonamide	207.295	0.087	3	2	6	66.4	1.0	13
COCCS(=O)(=O)N1CC(CO)C1	IMED1664995453	[1-(2-methoxyethanesulfonyl)azetidin-3-yl]methanol	209.267	-1.113	4	1	5	66.84	1.0	13
CCCCS(=O)(=O)N1CC(CO)C1	IMED1664995656	[1-(butane-1-sulfonyl)azetidin-3-yl]methanol	207.295	0.04	3	1	5	57.61	1.0	13
COCCS(=O)(=O)N1CC[C@@H](O)C1	IMED1247498505	(3R)-1-(2-methoxyethanesulfonyl)pyrrolidin-3-ol	209.267	-0.971	4	1	4	66.84	1.0	13
CC1(O)CN(C1)C(=O)CS(C)(=O)=O	IMED1875209164	1-(3-hydroxy-3-methylazetidin-1-yl)-2-methanesulfonylethan-1-one	207.251	-1.376	4	1	2	74.68	0.857	13
COCCS(=O)(=O)N1CC[C@H](O)C1	IMED1247495932	(3S)-1-(2-methoxyethanesulfonyl)pyrrolidin-3-ol	209.267	-0.971	4	1	4	66.84	1.0	13
CC1=C(CNS(C)(=O)=O)C(C)=NO1	IMED830259937	N-[(3,5-dimethyl-1,2-oxazol-4-yl)methyl]methanesulfonamide	204.251	0.341	4	1	3	72.2	0.571	13
CCCS(=O)(=O)N(C)CC(C)(C)O	IMED1516589647	N-(2-hydroxy-2-methylpropyl)-N-methylpropane-1-sulfonamide	209.311	0.429	3	1	5	57.61	1.0	13
CCN(CC(C)(C)O)S(=O)(=O)CC	IMED1545048730	N-ethyl-N-(2-hydroxy-2-methylpropyl)ethane-1-sulfonamide	209.311	0.429	3	1	5	57.61	1.0	13
CN1N=NN=C1SCCC(C)(C)O	IMED1313375953	2-methyl-4-[(1-methyl-1H-1,2,3,4-tetrazol-5-yl)sulfanyl]butan-2-ol	202.283	0.463	6	1	4	63.83	0.857	13
CC(C)[C@@H](CO)NS(=O)(=O)N(C)C	IMED1497306212	{[(2S)-1-hydroxy-3-methylbutan-2-yl]sulfamoyl}dimethylamine	210.299	-0.601	3	2	5	69.64	1.0	13
CC(C)[C@@H](CO)NS(=O)(=O)C1CC1	IMED1497305731	N-[(2S)-1-hydroxy-3-methylbutan-2-yl]cyclopropanesulfonamide	207.295	0.085	3	2	5	66.4	1.0	13
CCCS(=O)(=O)N[C@H](CO)C(C)C	IMED1349205169	N-[(2S)-1-hydroxy-3-methylbutan-2-yl]propane-1-sulfonamide	209.311	0.333	3	2	6	66.4	1.0	13
CN1CCC(SCC(O)CO)C1=O	IMED1341599630	3-[(2,3-dihydroxypropyl)sulfanyl]-1-methylpyrrolidin-2-one	205.279	-0.696	4	2	4	60.77	0.875	13
CCOC(=O)CC1CCS(=O)(=O)C1	IMED228666403	ethyl 2-(1,1-dioxo-1lambda6-thiolan-3-yl)acetate	206.263	0.374	4	0	3	60.44	0.875	13
CN(C)S(=O)(=O)N(C)CC(C)(C)O	IMED1545047494	(dimethylsulfamoyl)(2-hydroxy-2-methylpropyl)methylamine	210.299	-0.504	3	1	4	60.85	1.0	13
CNC(=O)[C@@H](NS(C)(=O)=O)C(C)C	IMED1273393381	(2S)-2-methanesulfonamido-N,3-dimethylbutanamide	208.283	-0.694	3	2	4	75.27	0.857	13
CCCN1CCCC1CS(N)(=O)=O	IMED1203924240	(1-propylpyrrolidin-2-yl)methanesulfonamide	206.311	0.149	3	1	4	63.4	1.0	13
CC1(C)CN(CCO)CCS1(=O)=O	IMED1400904605	4-(2-hydroxyethyl)-2,2-dimethyl-1lambda6-thiomorpholine-1,1-dione	207.295	-0.512	4	1	2	57.61	1.0	13
CC1(C)CN(CC#N)CCS1(=O)=O	IMED1400900700	2-(2,2-dimethyl-1,1-dioxo-1lambda6-thiomorpholin-4-yl)acetonitrile	202.279	0.019	4	0	1	61.17	0.875	13
COCCN1CCC(C1)S(N)(=O)=O	IMED1456311659	1-(2-methoxyethyl)pyrrolidine-3-sulfonamide	208.283	-1.004	4	1	4	72.63	1.0	13
CSCCN1CCC(C1)S(N)(=O)=O	IMED1579883485	1-[2-(methylsulfanyl)ethyl]pyrrolidine-3-sulfonamide	224.351	-0.288	4	1	4	63.4	1.0	13
CS(=O)(=O)NC1CCN(CC#N)C1	IMED1220788498	N-[1-(cyanomethyl)pyrrolidin-3-yl]methanesulfonamide	203.267	-0.867	4	1	3	73.2	0.857	13
CC1CS(=O)(=O)CCN1CCC#N	IMED1247389639	3-(3-methyl-1,1-dioxo-1lambda6-thiomorpholin-4-yl)propanenitrile	202.279	0.019	4	0	2	61.17	0.875	13
NS(=O)(=O)N1CCN(CC#N)CC1	IMED271859279	4-(cyanomethyl)piperazine-1-sulfonamide	204.255	-1.669	4	1	2	90.43	0.833	13
NS(=O)(=O)CC1CCCN1CCO	IMED1337862065	[1-(2-hydroxyethyl)pyrrolidin-2-yl]methanesulfonamide	208.283	-1.268	4	2	4	83.63	1.0	13
CC1CS(=O)(=O)CCN1CCCO	IMED1247391715	4-(3-hydroxypropyl)-3-methyl-1lambda6-thiomorpholine-1,1-dione	207.295	-0.512	4	1	3	57.61	1.0	13
CC(CCCO)NS(=O)(=O)C1CC1	IMED1497320749	N-(5-hydroxypentan-2-yl)cyclopropanesulfonamide	207.295	0.229	3	2	6	66.4	1.0	13
NS(=O)(=O)CC1CCCN1CC#N	IMED1203923826	[1-(cyanomethyl)pyrrolidin-2-yl]methanesulfonamide	203.267	-0.737	4	1	3	87.19	0.857	13
CC1C(C)S(=O)(=O)CCN1CC#N	IMED1232901460	2-(2,3-dimethyl-1,1-dioxo-1lambda6-thiomorpholin-4-yl)acetonitrile	202.279	0.017	4	0	1	61.17	0.875	13
CC1C(C)S(=O)(=O)CCN1CCO	IMED1337866053	4-(2-hydroxyethyl)-2,3-dimethyl-1lambda6-thiomorpholine-1,1-dione	207.295	-0.514	4	1	2	57.61	1.0	13
CS(=O)(=O)NC1CCN(CCO)C1	IMED1337865460	N-[1-(2-hydroxyethyl)pyrrolidin-3-yl]methanesulfonamide	208.283	-1.398	4	2	4	69.64	1.0	13
CC(C(C)S(C)(=O)=O)N(C)CC#N	IMED1193456430	2-[(3-methanesulfonylbutan-2-yl)(methyl)amino]acetonitrile	204.295	0.263	4	0	4	61.17	0.875	13
CC(C(C)S(C)(=O)=O)N(C)CCO	IMED1337862377	2-[(3-methanesulfonylbutan-2-yl)(methyl)amino]ethan-1-ol	209.311	-0.268	4	1	5	57.61	1.0	13
CN(C)C(=O)NCCNS(C)(=O)=O	IMED339860677	3-(2-methanesulfonamidoethyl)-1,1-dimethylurea	209.271	-1.193	3	2	4	78.51	0.833	13
CS(=O)(=O)CCC(=O)N1CCCO1	IMED1665588586	3-methanesulfonyl-1-(1,2-oxazolidin-2-yl)propan-1-one	207.251	-0.415	4	0	3	63.68	0.857	13
CS(=O)(=O)CC(=O)N1CCCCO1	IMED1796491217	2-methanesulfonyl-1-(1,2-oxazinan-2-yl)ethan-1-one	207.251	-0.415	4	0	2	63.68	0.857	13
CC1CN(CCCO)CCS1(=O)=O	IMED1241355990	4-(3-hydroxypropyl)-2-methyl-1lambda6-thiomorpholine-1,1-dione	207.295	-0.512	4	1	3	57.61	1.0	13
COCCS(=O)(=O)N1CCCCO1	IMED1797088328	2-(2-methoxyethanesulfonyl)-1,2-oxazinane	209.267	-0.01	4	0	4	55.84	1.0	13
COCCCS(=O)(=O)N1CCCO1	IMED1648129799	2-(3-methoxypropanesulfonyl)-1,2-oxazolidine	209.267	-0.01	4	0	5	55.84	1.0	13
CCOCCS(=O)(=O)N1CCCO1	IMED1648130022	2-(2-ethoxyethanesulfonyl)-1,2-oxazolidine	209.267	-0.01	4	0	5	55.84	1.0	13
